matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
M3,"aquifers upstream aquifers [ME]",aquifers,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,429,25938,0,114010,timeout-sort-estimate,"Sort operation was canceled, because time estimate exceeded remaining time by a factor of 3 Last operation: Sort (internal order) on ?iri"
M6,"samples downstream facilities [17]",samples,downstream,,facilities,17,"none",FIND_TARGET_IRIS,federation,429,31036,0,107262,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
M6,"samples downstream facilities [18]",samples,downstream,,facilities,18,"none",FIND_TARGET_IRIS,federation,429,31204,0,109540,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?iri"
M6,"samples downstream facilities [25]",samples,downstream,,facilities,25,"none",FIND_TARGET_IRIS,federation,500,23256,0,112394,engine-oom,"Tried to allocate 3.3 GB, but only 2.6 GB were available"
M6,"samples downstream facilities [33]",samples,downstream,,facilities,33,"none",FIND_TARGET_IRIS,federation,429,32054,0,112156,timeout-30s,"Operation timed out. Last operation: Join on ?s2target"
M6,"samples downstream facilities [01]",samples,downstream,,facilities,01,"none",FIND_TARGET_IRIS,federation,500,21701,0,112402,engine-oom,"Tried to allocate 3.3 GB, but only 2.6 GB were available"
M6,"samples downstream facilities [50]",samples,downstream,,facilities,50,"none",FIND_TARGET_IRIS,federation,200,20811,17,1544,ok,""
M7,"samples near facilities [NO REGION]",samples,near,1,facilities,none,"none",FIND_TARGET_IRIS,federation,200,1444,4770,429430,ok,""
M7,"samples downstream facilities [NO REGION]",samples,downstream,,facilities,none,"none",FIND_TARGET_IRIS,federation,500,37312,0,96658,engine-oom,"Tried to allocate 2.6 GB, but only 1.7 GB were available"
M7,"wells near facilities [NO REGION]",wells,near,1,facilities,none,"none",FIND_TARGET_IRIS,federation,200,21566,219026,22554679,ok,""
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",FIND_TARGET_IRIS,federation,200,1620,31,3142,ok,""
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",FIND_ANCHOR_IRIS,federation,200,22456,5,535,ok,""
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",HYDRATE_TARGET_BY_IRI,federation,200,990,24,16263,ok,""
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",HYDRATE_ANCHOR_BY_IRI,federation,200,664,11,6464,ok,""
M5,"PREBUILT: Samples Near Agricultural Chemical Facilities in Maine",samples,near,1,facilities,23,"prebuilt",GET_SAMPLE_DETAILS,federation,200,11549,1904,1894113,ok,""
